Date	VIX
7/1/2011	15.87
7/5/2011	16.059999
7/6/2011	16.34
7/7/2011	15.95
7/8/2011	15.95
7/11/2011	18.389999
7/12/2011	19.870001
7/13/2011	19.91
7/14/2011	20.799999
7/15/2011	19.530001
7/18/2011	20.950001
7/19/2011	19.209999
7/20/2011	19.09
7/21/2011	17.559999
7/22/2011	17.52
7/25/2011	19.35
7/26/2011	20.23
7/27/2011	22.98
7/28/2011	23.74
7/29/2011	25.25
8/1/2011	23.66
8/2/2011	24.790001
8/3/2011	23.379999
8/4/2011	31.66
8/5/2011	32
8/8/2011	48
8/9/2011	35.060001
8/10/2011	42.990002
8/11/2011	39
8/12/2011	36.360001
8/15/2011	31.870001
8/16/2011	32.849998
8/17/2011	31.58
8/18/2011	42.669998
8/19/2011	43.049999
8/22/2011	42.439999
8/23/2011	36.27
8/24/2011	35.900002
8/25/2011	39.759998
8/26/2011	35.59
8/29/2011	32.279999
8/30/2011	32.889999
8/31/2011	31.620001
9/1/2011	31.82
9/2/2011	33.919998
9/6/2011	37
9/7/2011	33.380001
9/8/2011	34.32
9/9/2011	38.52
9/12/2011	38.59
9/13/2011	36.91
9/14/2011	34.599998
9/15/2011	31.969999
9/16/2011	30.98
9/19/2011	32.73
9/20/2011	32.860001
9/21/2011	37.32
9/22/2011	41.349998
9/23/2011	41.25
9/26/2011	39.02
9/27/2011	37.709999
9/28/2011	41.080002
9/29/2011	38.84
9/30/2011	42.959999
10/3/2011	45.450001
10/4/2011	40.82
10/5/2011	37.810001
10/6/2011	36.27
10/7/2011	36.200001
10/10/2011	33.02
10/11/2011	32.860001
10/12/2011	31.26
10/13/2011	30.700001
10/14/2011	28.24
10/17/2011	33.389999
10/18/2011	31.559999
10/19/2011	34.439999
10/20/2011	34.779999
10/21/2011	31.32
10/24/2011	29.26
10/25/2011	32.220001
10/26/2011	29.860001
10/27/2011	25.459999
10/28/2011	24.530001
10/31/2011	29.959999
11/1/2011	34.77
11/2/2011	32.740002
11/3/2011	30.5
11/4/2011	30.16
11/7/2011	29.85
11/8/2011	27.48
11/9/2011	36.16
11/10/2011	32.810001
11/11/2011	30.040001
11/14/2011	31.129999
11/15/2011	31.219999
11/16/2011	33.509998
11/17/2011	34.509998
11/18/2011	32
11/21/2011	32.91
11/22/2011	31.969999
11/23/2011	33.98
11/25/2011	34.470001
11/28/2011	32.130001
11/29/2011	30.639999
11/30/2011	27.799999
12/1/2011	27.41
12/2/2011	27.52
12/5/2011	27.84
12/6/2011	28.129999
12/7/2011	28.67
12/8/2011	30.59
12/9/2011	26.379999
12/12/2011	25.67
12/13/2011	25.41
12/14/2011	26.040001
12/15/2011	25.110001
12/16/2011	24.290001
12/19/2011	24.92
12/20/2011	23.219999
12/21/2011	21.43
12/22/2011	21.16
12/23/2011	20.73
12/27/2011	21.91
12/28/2011	23.52
12/29/2011	22.65
12/30/2011	23.4
1/3/2012	22.969999
1/4/2012	22.219999
1/5/2012	21.48
1/6/2012	20.629999
1/9/2012	21.07
1/10/2012	20.690001
1/11/2012	21.049999
1/12/2012	20.469999
1/13/2012	20.91
1/17/2012	22.200001
1/18/2012	20.889999
1/19/2012	19.870001
1/20/2012	18.280001
1/23/2012	18.67
1/24/2012	18.91
1/25/2012	18.309999
1/26/2012	18.57
1/27/2012	18.530001
1/30/2012	19.4
1/31/2012	19.440001
2/1/2012	18.549999
2/2/2012	17.98
2/3/2012	17.1
2/6/2012	17.76
2/7/2012	17.65
2/8/2012	18.16
2/9/2012	18.629999
2/10/2012	20.790001
2/13/2012	19.040001
2/14/2012	19.540001
2/15/2012	21.139999
2/16/2012	19.219999
2/17/2012	17.780001
2/21/2012	18.190001
2/22/2012	18.190001
2/23/2012	16.799999
2/24/2012	17.309999
2/27/2012	18.190001
2/28/2012	17.959999
2/29/2012	18.43
3/1/2012	17.26
3/2/2012	17.290001
3/5/2012	18.049999
3/6/2012	20.870001
3/7/2012	19.07
3/8/2012	17.950001
3/9/2012	17.110001
3/12/2012	15.64
3/13/2012	14.8
3/14/2012	15.31
3/15/2012	15.42
3/16/2012	14.47
3/19/2012	15.04
3/20/2012	15.58
3/21/2012	15.13
3/22/2012	15.57
3/23/2012	14.82
3/26/2012	14.26
3/27/2012	15.59
3/28/2012	15.47
3/29/2012	15.48
3/30/2012	15.5
