Date	VIX
11/30/2018	18.07
12/3/2018	16.440001
12/4/2018	20.74
12/6/2018	21.190001
12/7/2018	23.23
12/10/2018	22.639999
12/11/2018	21.76
12/12/2018	21.459999
12/13/2018	20.65
12/14/2018	21.629999
12/17/2018	24.52
12/18/2018	25.58
12/19/2018	25.58
12/20/2018	28.379999
12/21/2018	30.110001
12/24/2018	36.07
12/26/2018	30.41
12/27/2018	29.959999
12/28/2018	28.34
12/31/2018	25.42
1/2/2019	23.219999
1/3/2019	25.450001
1/4/2019	21.379999
1/7/2019	21.4
1/8/2019	20.469999
1/9/2019	19.98
1/10/2019	19.5
1/11/2019	18.190001
1/14/2019	19.07
1/15/2019	18.6
1/16/2019	19.040001
1/17/2019	18.059999
1/18/2019	17.799999
1/22/2019	20.799999
1/23/2019	19.52
1/24/2019	18.889999
1/25/2019	17.42
1/28/2019	18.870001
1/29/2019	19.129999
1/30/2019	17.66
1/31/2019	16.57
2/1/2019	16.139999
