Date	VIX
10/14/1997	19.99
10/15/1997	20.049999
10/16/1997	20.530001
10/17/1997	21.690001
10/20/1997	20.719999
10/21/1997	19.530001
10/22/1997	19.860001
10/23/1997	22.99
10/24/1997	23.17
10/27/1997	31.120001
10/28/1997	31.219999
10/29/1997	33.75
10/30/1997	38.200001
10/31/1997	35.09
11/3/1997	32.09
11/4/1997	32.240002
11/5/1997	32.18
11/6/1997	32.57
11/7/1997	36.27
11/10/1997	36.630001
11/11/1997	36.380001
11/12/1997	37.84
11/13/1997	36.639999
11/14/1997	33.66
11/17/1997	31.58
11/18/1997	31.549999
11/19/1997	29.93
11/20/1997	27.32
11/21/1997	26.65
11/24/1997	29.799999
11/25/1997	28.950001
11/26/1997	28.950001
11/28/1997	27.43
12/1/1997	26.01
12/2/1997	25.66
12/3/1997	23.92
12/4/1997	23.84
12/5/1997	22.65
12/8/1997	23.219999
12/9/1997	23.360001
12/10/1997	24.549999
12/11/1997	27.629999
12/12/1997	27.92
12/15/1997	27.370001
12/16/1997	26.110001
12/17/1997	26.33
12/18/1997	27.190001
12/19/1997	29.18
12/22/1997	28.559999
12/23/1997	29.860001
12/24/1997	30.27
12/26/1997	29.27
12/29/1997	26.790001
12/30/1997	24.379999
12/31/1997	24.01
1/2/1998	23.42
1/5/1998	24.360001
1/6/1998	25.66
1/7/1998	25.07
1/8/1998	26.01
1/9/1998	28.690001
1/12/1998	28.02
1/13/1998	25.17
1/14/1998	23.75
1/15/1998	23.450001
1/16/1998	21.65
1/20/1998	21.65
1/21/1998	22.530001
1/22/1998	23.16
1/23/1998	23.32
1/26/1998	23.969999
1/27/1998	22.27
1/28/1998	22.059999
1/29/1998	21.65
1/30/1998	21.469999
2/2/1998	21.360001
2/3/1998	20.67
2/4/1998	20.549999
2/5/1998	21.290001
2/6/1998	20.51
2/9/1998	21.549999
2/10/1998	20.66
2/11/1998	20.379999
2/12/1998	19.73
2/13/1998	19.84
