Date	VIX
8/5/2008	21.139999
8/6/2008	20.23
8/7/2008	21.15
8/8/2008	20.66
8/11/2008	20.120001
8/12/2008	21.17
8/13/2008	21.549999
8/14/2008	20.34
8/15/2008	19.58
8/18/2008	20.98
8/19/2008	21.280001
8/20/2008	20.42
8/21/2008	19.82
8/22/2008	18.809999
8/25/2008	20.969999
8/26/2008	20.49
8/27/2008	19.76
8/28/2008	19.43
8/29/2008	20.65
9/2/2008	21.99
9/3/2008	21.43
9/4/2008	24.030001
9/5/2008	23.059999
9/8/2008	22.639999
9/9/2008	25.469999
9/10/2008	24.52
9/11/2008	24.389999
9/12/2008	25.66
9/15/2008	31.700001
9/16/2008	30.299999
9/17/2008	36.220001
9/18/2008	33.099998
9/19/2008	32.07
9/22/2008	33.849998
9/23/2008	35.720001
9/24/2008	35.189999
9/25/2008	32.82
9/26/2008	34.740002
9/29/2008	46.720001
9/30/2008	39.389999
10/1/2008	39.810001
10/2/2008	45.259998
10/3/2008	45.139999
10/6/2008	52.049999
10/7/2008	53.68
10/8/2008	57.529999
10/9/2008	63.919998
10/10/2008	69.949997
10/13/2008	54.990002
10/14/2008	55.130001
10/15/2008	69.25
10/16/2008	67.610001
10/17/2008	70.330002
10/20/2008	52.970001
10/21/2008	53.110001
10/22/2008	69.650002
10/23/2008	67.800003
10/24/2008	79.129997
10/27/2008	80.059998
10/28/2008	66.959999
10/29/2008	69.959999
10/30/2008	62.900002
10/31/2008	59.889999
11/3/2008	53.68
11/4/2008	47.73
11/5/2008	54.560001
11/6/2008	63.68
11/7/2008	56.099998
11/10/2008	59.98
11/11/2008	61.439999
11/12/2008	66.459999
11/13/2008	59.830002
11/14/2008	66.309998
11/17/2008	69.150002
11/18/2008	67.639999
11/19/2008	74.260002
11/20/2008	80.860001
11/21/2008	72.669998
11/24/2008	64.699997
11/25/2008	60.900002
11/26/2008	54.919998
11/28/2008	55.279999
12/1/2008	68.510002
12/2/2008	62.98
12/3/2008	60.720001
12/4/2008	63.639999
12/5/2008	59.93
12/8/2008	58.490002
12/9/2008	58.91
12/10/2008	55.73
12/11/2008	55.779999
12/12/2008	54.279999
12/15/2008	56.759998
12/16/2008	52.369999
12/17/2008	49.84
12/18/2008	47.34
12/19/2008	44.93
12/22/2008	44.560001
12/23/2008	45.02
12/24/2008	44.209999
12/26/2008	43.380001
12/29/2008	43.900002
12/30/2008	41.630001
12/31/2008	40
1/2/2009	39.189999
1/5/2009	39.080002
1/6/2009	38.560001
1/7/2009	43.389999
1/8/2009	42.560001
1/9/2009	42.82
1/12/2009	45.84
1/13/2009	43.27
1/14/2009	49.139999
1/15/2009	51
1/16/2009	46.110001
1/20/2009	56.650002
1/21/2009	46.419998
1/22/2009	47.290001
1/23/2009	47.27
1/26/2009	45.689999
1/27/2009	42.25
1/28/2009	39.66
1/29/2009	42.630001
1/30/2009	44.84
2/2/2009	45.52
2/3/2009	43.060001
2/4/2009	43.849998
2/5/2009	43.73
2/6/2009	43.369999
2/9/2009	43.639999
2/10/2009	46.669998
2/11/2009	44.529999
2/12/2009	41.25
2/13/2009	42.93
2/17/2009	48.66
2/18/2009	48.459999
2/19/2009	47.080002
2/20/2009	49.299999
2/23/2009	52.619999
2/24/2009	45.490002
2/25/2009	44.669998
2/26/2009	44.66
2/27/2009	46.349998
3/2/2009	52.650002
3/3/2009	50.93
3/4/2009	47.560001
3/5/2009	50.169998
3/6/2009	49.330002
3/9/2009	49.68
3/10/2009	44.369999
3/11/2009	43.610001
3/12/2009	41.18
3/13/2009	42.360001
3/16/2009	43.740002
3/17/2009	40.799999
3/18/2009	40.060001
3/19/2009	43.68
3/20/2009	45.889999
3/23/2009	43.23
3/24/2009	42.93
3/25/2009	42.25
3/26/2009	40.360001
3/27/2009	41.040001
3/30/2009	45.540001
3/31/2009	44.139999
4/1/2009	42.279999
4/2/2009	42.040001
4/3/2009	39.700001
4/6/2009	40.93
4/7/2009	40.389999
4/8/2009	38.849998
4/9/2009	36.529999
4/13/2009	37.810001
4/14/2009	37.669998
4/15/2009	36.169998
4/16/2009	35.790001
4/17/2009	33.939999
4/20/2009	39.18
4/21/2009	37.139999
4/22/2009	38.099998
4/23/2009	37.150002
4/24/2009	36.82
4/27/2009	38.32
4/28/2009	37.950001
4/29/2009	36.080002
4/30/2009	36.5
5/1/2009	35.299999
5/4/2009	34.529999
5/5/2009	33.360001
5/6/2009	32.450001
5/7/2009	33.439999
5/8/2009	32.049999
5/11/2009	32.869999
5/12/2009	31.799999
5/13/2009	33.650002
5/14/2009	31.370001
5/15/2009	33.119999
5/18/2009	30.24
5/19/2009	28.799999
5/20/2009	29.030001
5/21/2009	31.35
5/22/2009	32.630001
5/26/2009	30.620001
5/27/2009	32.360001
5/28/2009	31.67
5/29/2009	28.92
6/1/2009	30.040001
6/2/2009	29.629999
6/3/2009	31.02
6/4/2009	30.18
6/5/2009	29.620001
6/8/2009	29.77
6/9/2009	28.27
6/10/2009	28.459999
6/11/2009	28.110001
6/12/2009	28.15
6/15/2009	30.809999
6/16/2009	32.68
6/17/2009	31.540001
6/18/2009	30.030001
6/19/2009	27.99
6/22/2009	31.17
6/23/2009	30.58
6/24/2009	29.049999
6/25/2009	26.360001
6/26/2009	25.93
6/29/2009	25.35
6/30/2009	26.35
7/1/2009	26.219999
7/2/2009	27.950001
7/6/2009	29
7/7/2009	30.85
7/8/2009	31.299999
7/9/2009	29.780001
7/10/2009	29.02
7/13/2009	26.309999
7/14/2009	25.02
7/15/2009	25.889999
7/16/2009	25.42
7/17/2009	24.34
7/20/2009	24.4
7/21/2009	23.870001
7/22/2009	23.469999
7/23/2009	23.43
7/24/2009	23.09
7/27/2009	24.280001
7/28/2009	25.01
7/29/2009	25.610001
7/30/2009	25.4
7/31/2009	25.92
8/3/2009	25.559999
8/4/2009	24.889999
8/5/2009	24.9
8/6/2009	25.67
8/7/2009	24.76
8/10/2009	24.99
8/11/2009	25.99
8/12/2009	25.450001
8/13/2009	24.709999
8/14/2009	24.27
8/17/2009	27.889999
8/18/2009	26.18
8/19/2009	26.26
8/20/2009	25.09
8/21/2009	25.01
8/24/2009	25.139999
8/25/2009	24.92
8/26/2009	24.950001
8/27/2009	24.68
8/28/2009	24.76
8/31/2009	26.01
9/1/2009	29.15
9/2/2009	28.9
9/3/2009	27.1
9/4/2009	25.26
9/8/2009	25.620001
9/9/2009	24.32
9/10/2009	23.549999
9/11/2009	24.15
9/14/2009	23.860001
9/15/2009	23.42
9/16/2009	23.690001
9/17/2009	23.65
9/18/2009	23.92
9/21/2009	24.059999
9/22/2009	23.08
9/23/2009	23.49
9/24/2009	24.950001
9/25/2009	25.610001
9/28/2009	24.879999
9/29/2009	25.190001
9/30/2009	25.610001
10/1/2009	28.27
10/2/2009	28.68
10/5/2009	26.84
10/6/2009	25.700001
10/7/2009	24.68
10/8/2009	24.18
10/9/2009	23.120001
10/12/2009	23.01
10/13/2009	22.99
10/14/2009	22.860001
10/15/2009	21.719999
10/16/2009	21.43
10/19/2009	21.49
10/20/2009	20.9
10/21/2009	22.219999
10/22/2009	20.690001
10/23/2009	22.27
10/26/2009	24.309999
10/27/2009	24.83
10/28/2009	27.91
10/29/2009	24.76
10/30/2009	30.690001
11/2/2009	29.780001
11/3/2009	28.809999
11/4/2009	27.719999
11/5/2009	25.43
11/6/2009	24.190001
11/9/2009	23.15
11/10/2009	22.84
11/11/2009	23.040001
11/12/2009	24.24
11/13/2009	23.360001
11/16/2009	22.889999
11/17/2009	22.41
11/18/2009	21.629999
11/19/2009	22.629999
11/20/2009	22.190001
11/23/2009	21.16
11/24/2009	20.469999
11/25/2009	20.48
11/27/2009	24.74
11/30/2009	24.51
12/1/2009	21.92
12/2/2009	21.120001
12/3/2009	22.459999
12/4/2009	21.25
12/7/2009	22.1
12/8/2009	23.690001
12/9/2009	22.66
12/10/2009	22.32
12/11/2009	21.59
12/14/2009	21.15
12/15/2009	21.49
12/16/2009	20.540001
12/17/2009	22.51
12/18/2009	21.68
12/21/2009	20.49
12/22/2009	19.540001
12/23/2009	19.709999
12/24/2009	19.469999
12/28/2009	19.93
12/29/2009	20.01
12/30/2009	19.959999
